timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,keyboard_hardware_interrupts,kernel_context_switches_delta,kernel_sys_read_delta,kernel_sys_write_delta,label
2026-05-24 00:30:55.052408,0,30,55,25.0,63.7,66.4,78.3,123.25,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.0947,0,5863,2527,713,benign
2026-05-24 00:30:55.760653,0,30,55,37.8,63.7,66.4,78.3,123.26,267,267,255,5,5,1,11,5,1,4,990,3.7079,267,1.0,267,29,29,2,0.1416,0,6293,3903,650,benign
2026-05-24 00:30:56.474573,0,30,56,42.1,63.7,66.4,78.3,123.27,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1595,0,5707,2458,650,benign
2026-05-24 00:30:57.175615,0,30,57,33.3,63.7,66.4,78.3,123.28,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,28,28,2,0.1261,0,5955,2466,621,benign
2026-05-24 00:30:57.881946,0,30,57,32.4,63.7,66.4,78.3,123.3,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1227,0,5854,2579,771,benign
2026-05-24 00:30:58.593572,0,30,58,27.0,63.7,66.4,78.3,123.31,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1023,0,6122,2489,685,benign
2026-05-24 00:30:59.293916,0,30,59,30.6,63.7,66.4,78.3,123.32,264,264,252,4,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1159,0,5797,2405,599,benign
2026-05-24 00:31:00.015983,0,31,0,30.8,63.7,66.4,78.3,123.33,264,264,252,4,5,1,10,5,1,4,987,3.7386,264,1.0,264,31,31,2,0.1167,0,5742,2462,664,benign
2026-05-24 00:31:00.722390,0,31,0,32.4,63.7,66.4,78.3,123.34,267,267,255,5,5,1,11,5,1,4,989,3.7041,267,1.0,267,31,31,2,0.1213,0,5970,3516,679,benign
2026-05-24 00:31:01.436365,0,31,1,44.7,63.7,66.4,78.3,123.36,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.1693,0,5992,2515,682,benign
2026-05-24 00:31:02.151894,0,31,2,43.2,63.7,66.4,78.3,123.37,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.1636,0,5836,2450,638,benign
2026-05-24 00:31:02.850605,0,31,2,30.6,63.7,66.4,78.3,123.38,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.1159,0,6009,2488,676,benign
2026-05-24 00:31:03.567677,0,31,3,36.8,63.7,66.4,78.3,123.39,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.1394,0,5612,2395,610,benign
2026-05-24 00:31:04.303713,0,31,4,40.5,63.7,66.4,78.3,123.4,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.1534,0,6240,2516,714,benign
2026-05-24 00:31:05.027234,0,31,5,34.2,63.7,66.4,78.3,123.42,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.1295,0,6076,2498,691,benign
2026-05-24 00:31:05.736643,0,31,5,40.0,63.7,66.4,78.3,123.43,267,267,255,5,5,1,11,5,1,4,990,3.7079,267,1.0,267,30,30,2,0.1498,0,5921,3563,739,benign
2026-05-24 00:31:06.444538,0,31,6,38.9,63.7,66.4,78.3,123.44,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.1473,0,5473,2470,641,benign
2026-05-24 00:31:07.159620,0,31,7,38.5,63.7,66.4,78.3,123.45,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,30,30,2,0.1458,0,5834,2435,586,benign
2026-05-24 00:31:07.881959,0,31,7,31.6,63.7,66.4,78.3,123.46,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,30,30,2,0.1197,0,6263,2486,702,benign
2026-05-24 00:31:08.599510,0,31,8,34.2,63.7,66.4,78.3,123.47,263,263,252,5,5,1,9,5,0,4,987,3.7529,263,1.0,263,30,30,2,0.13,0,5874,2708,640,benign
2026-05-24 00:31:09.299650,0,31,9,34.2,63.7,66.4,78.3,123.49,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,30,30,2,0.1295,0,5468,2376,581,benign
2026-05-24 00:31:10.006095,0,31,10,38.5,63.7,66.4,78.3,123.5,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.1458,0,5412,2409,610,benign
2026-05-24 00:31:10.735243,0,31,10,32.4,63.7,66.4,78.3,123.51,267,267,255,5,5,1,11,5,1,4,991,3.7116,267,1.0,267,29,29,2,0.1213,0,5805,3547,695,benign
2026-05-24 00:31:11.474124,0,31,11,40.5,63.7,66.4,78.3,123.52,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.1534,0,6279,2519,710,benign
2026-05-24 00:31:12.239070,0,31,12,40.5,63.7,66.4,78.3,123.53,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.1534,0,6339,2535,688,benign
2026-05-24 00:31:12.960607,0,31,12,68.3,63.7,66.4,78.3,123.55,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.2587,0,7153,2601,762,benign
2026-05-24 00:31:13.683300,0,31,13,38.5,63.7,66.4,78.3,123.56,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.1458,0,6355,2527,732,benign
2026-05-24 00:31:14.416061,0,31,14,75.0,63.9,66.4,78.3,123.57,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.2841,0,6278,4584,609,benign
2026-05-24 00:31:15.135617,0,31,15,30.6,63.8,66.4,78.3,123.58,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.1159,0,6158,2521,716,benign
2026-05-24 00:31:15.855308,0,31,15,50.0,63.9,66.4,78.3,123.6,267,267,255,5,5,1,11,5,1,4,991,3.7116,267,1.0,267,29,29,2,0.1873,0,7204,3629,753,benign
2026-05-24 00:31:16.567104,0,31,16,34.2,63.9,66.4,78.3,123.61,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,29,29,2,0.1295,0,6351,2678,783,benign
2026-05-24 00:31:17.284078,0,31,17,66.7,63.9,66.4,78.3,123.62,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,30,30,2,0.2527,0,6465,2481,693,benign
2026-05-24 00:31:17.994819,0,31,17,33.3,63.9,66.4,78.3,123.63,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,30,30,2,0.1261,0,6280,2477,668,benign
2026-05-24 00:31:18.702102,0,31,18,33.3,63.9,66.4,78.3,123.64,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,30,30,2,0.1261,0,5681,2427,617,benign
2026-05-24 00:31:19.419442,0,31,19,51.2,63.9,66.4,78.3,123.66,264,264,252,5,5,1,10,5,1,4,988,3.7424,264,1.0,264,30,30,2,0.1939,0,5676,2386,602,benign
2026-05-24 00:31:20.190972,0,31,20,55.3,64.0,66.4,78.3,123.67,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.2095,0,6448,2479,650,benign
2026-05-24 00:31:20.917113,0,31,20,62.2,64.0,66.4,78.3,123.68,267,267,255,5,5,1,11,5,1,4,990,3.7079,267,1.0,267,29,29,2,0.233,0,6387,3579,732,benign
2026-05-24 00:31:21.613675,0,31,21,44.7,64.0,66.4,78.3,123.69,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1693,0,6963,2533,690,benign
2026-05-24 00:31:22.326489,0,31,22,56.4,64.0,66.4,78.3,123.7,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.2136,0,6826,2520,714,benign
2026-05-24 00:31:23.071743,0,31,23,71.8,63.9,66.4,78.3,123.72,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.272,0,5885,2445,643,benign
2026-05-24 00:31:23.776533,0,31,23,40.5,63.9,66.4,78.3,123.73,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1534,0,6254,2448,632,benign
2026-05-24 00:31:24.477102,0,31,24,39.5,63.9,66.4,78.3,123.74,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1496,0,5633,2386,572,benign
2026-05-24 00:31:25.192913,0,31,25,35.3,63.9,66.4,78.3,123.75,264,264,252,5,5,1,10,5,1,4,987,3.7386,264,1.0,264,29,29,2,0.1337,0,5501,2402,612,benign
2026-05-24 00:31:25.892018,0,31,25,36.8,63.9,66.4,78.3,123.76,267,267,255,5,5,1,11,5,1,4,990,3.7079,267,1.0,267,29,29,2,0.1378,0,5760,3478,634,benign
2026-05-24 00:31:26.603976,0,31,26,34.2,63.9,66.4,78.3,123.78,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,29,29,2,0.1295,0,5756,2524,677,benign
2026-05-24 00:31:27.315688,0,31,27,42.5,63.9,66.4,78.3,123.79,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,30,30,2,0.161,0,6174,2573,772,benign
2026-05-24 00:31:28.052881,0,31,28,31.6,63.9,66.4,78.3,123.8,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,29,29,2,0.1197,0,6004,2506,697,benign
2026-05-24 00:31:28.756632,0,31,28,44.7,63.9,66.4,78.3,123.81,264,264,252,5,5,1,10,5,1,4,986,3.7348,264,1.0,264,29,29,2,0.1693,0,5957,2391,601,benign
