timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,label
2026-05-23 16:09:32.728979,16,9,32,24.4,46.0,6.5,93.8,327.38,223,223,4,0,1,1,1,0,8,2650,11.8834,0,0.0,1613,110,110,1,24.4,benign
2026-05-23 16:09:51.337192,16,9,51,25.8,45.8,6.5,93.8,327.69,222,222,6,0,1,1,1,0,8,2636,11.8739,0,0.0,1613,103,107,1,25.8,benign
2026-05-23 16:10:08.756057,16,10,8,35.3,45.7,6.5,93.8,328.01,222,222,5,0,1,1,1,0,8,2640,11.8919,0,0.0,1613,105,108,1,35.3,benign
2026-05-23 16:10:27.523012,16,10,27,8.6,45.9,6.5,93.8,328.3,222,222,3,0,1,1,1,0,8,2665,12.0045,0,0.0,1613,107,107,1,8.6,benign
2026-05-23 16:10:45.617362,16,10,45,10.3,46.3,6.5,93.8,328.61,222,222,3,0,1,1,1,0,8,2662,11.991,0,0.0,1614,107,110,1,10.3,benign
2026-05-23 16:11:02.967545,16,11,2,18.4,47.6,6.5,93.8,328.91,222,222,4,1,1,1,1,0,8,2662,11.991,0,0.0,1614,105,107,1,18.4,benign
2026-05-23 16:11:20.336049,16,11,20,9.0,48.2,6.5,93.8,329.2,222,222,2,1,1,1,1,0,8,2673,12.0405,0,0.0,1614,110,106,1,9.0,benign
2026-05-23 16:11:37.832190,16,11,37,17.5,48.7,6.5,93.8,329.49,221,221,2,1,1,1,1,0,8,2663,12.0498,0,0.0,1614,107,109,1,17.5,benign
2026-05-23 16:11:55.501705,16,11,55,12.3,48.8,6.5,93.8,329.78,221,222,3,1,1,1,1,0,8,2638,11.9367,0,0.0,1630,104,104,1,12.3,benign
2026-05-23 16:12:13.293272,16,12,13,12.4,47.2,6.5,93.8,330.07,223,222,3,1,1,1,1,0,8,2677,12.0045,0,0.0,1640,102,104,1,12.4,benign
2026-05-23 16:12:31.315794,16,12,31,9.1,47.6,6.5,93.8,330.37,222,222,3,1,1,1,1,0,8,2728,12.2883,0,0.0,1640,108,108,1,9.1,benign
2026-05-23 16:12:49.230502,16,12,49,11.0,47.9,6.5,93.8,330.67,222,222,3,1,1,1,1,0,8,2740,12.3423,0,0.0,1639,104,106,1,11.0,benign
2026-05-23 16:13:06.702833,16,13,6,14.1,47.7,6.5,93.8,330.97,220,220,4,1,1,1,1,0,8,2681,12.1864,0,0.0,1619,103,104,1,14.1,benign
2026-05-23 16:13:24.138660,16,13,24,14.3,47.9,6.5,93.8,331.26,220,220,2,1,1,1,1,0,8,2690,12.2273,0,0.0,1614,105,102,1,14.3,benign
2026-05-23 16:13:41.560890,16,13,41,5.3,48.1,6.5,93.8,331.55,220,220,2,1,1,1,1,0,8,2689,12.2227,0,0.0,1614,101,105,1,5.3,benign
2026-05-23 16:13:59.155651,16,13,59,15.8,48.2,6.5,93.8,331.84,219,219,3,1,1,1,1,0,8,2649,12.0959,0,0.0,1614,101,101,1,15.8,benign
2026-05-23 16:14:16.249873,16,14,16,7.2,48.3,6.5,93.8,332.13,219,219,3,1,1,1,1,0,8,2631,12.0137,0,0.0,1614,101,101,1,7.2,benign
2026-05-23 16:14:33.621940,16,14,33,5.6,48.2,6.5,93.8,332.42,219,221,3,1,1,1,1,0,8,2669,12.1872,0,0.0,1614,108,106,1,5.6,benign
2026-05-23 16:14:51.397138,16,14,51,12.3,48.4,6.5,93.8,332.71,223,223,2,1,1,1,1,0,8,2691,12.0673,0,0.0,1614,109,106,1,12.3,benign
2026-05-23 16:15:10.313440,16,15,10,22.8,48.5,6.5,93.8,333.01,222,222,5,1,1,1,1,0,8,2671,12.0315,0,0.0,1614,108,107,1,22.8,benign
2026-05-23 16:15:28.649749,16,15,28,33.8,48.0,6.5,93.8,333.32,222,222,6,1,1,1,1,0,8,2665,12.0045,0,0.0,1614,110,110,1,33.8,benign
2026-05-23 16:15:47.096713,16,15,47,25.0,47.3,6.5,93.8,333.63,222,222,4,1,1,1,1,0,8,2669,12.0225,0,0.0,1613,105,109,1,25.0,benign
2026-05-23 16:16:05.537436,16,16,5,35.2,47.4,6.5,93.8,333.93,222,222,6,1,1,1,1,0,8,2668,12.018,0,0.0,1613,105,104,1,35.2,benign
2026-05-23 16:16:23.462726,16,16,23,39.3,47.2,6.5,93.8,334.24,222,222,5,1,1,1,1,0,8,2625,11.8243,0,0.0,1613,107,104,1,39.3,benign
2026-05-23 16:16:41.772168,16,16,41,25.0,47.2,6.5,93.8,334.54,221,221,5,1,1,1,1,0,8,2635,11.9231,0,0.0,1613,105,108,1,25.0,benign
2026-05-23 16:17:00.439797,16,17,0,21.7,47.4,6.5,93.8,334.85,223,223,4,1,1,1,1,0,8,2679,12.0135,0,0.0,1639,106,105,1,21.7,benign
2026-05-23 16:17:19.321707,16,17,19,16.0,47.5,6.5,93.8,335.16,223,223,4,1,1,1,1,0,8,2706,12.1345,0,0.0,1638,110,106,1,16.0,benign
