timestamp,hour,minute,second,cpu_usage,memory_usage,swap_memory,disk_usage_percent,system_uptime_minutes,process_count,active_processes,background_processes,high_cpu_processes,high_memory_processes,python_processes,shell_processes,suspicious_process_names,zombie_processes,cpu_threads,total_threads,thread_to_process_ratio,keyboard_events,keyboard_to_process_ratio,total_open_files,network_connections,total_connections,users_logged_in,cpu_to_keyboard_ratio,label
2026-05-23T05:16:14.112626,5,16,14,0.9,51.6,0.0,71.8,520.8,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:16:16.552060,5,16,16,1.9,51.6,0.0,71.8,520.84,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.9,benign
2026-05-23T05:16:19.029814,5,16,19,1.9,51.6,0.0,71.8,520.88,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.9,benign
2026-05-23T05:16:21.466947,5,16,21,3.0,51.6,0.0,71.8,520.92,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,3.0,benign
2026-05-23T05:16:23.926306,5,16,23,4.4,51.6,0.0,71.8,520.96,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,4.4,benign
2026-05-23T05:16:26.375949,5,16,26,1.7,51.6,0.0,71.8,521.0,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,1.7,benign
2026-05-23T05:16:28.839043,5,16,28,2.7,51.6,0.0,71.8,521.04,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.7,benign
2026-05-23T05:16:31.403278,5,16,31,0.9,51.6,0.0,71.8,521.09,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:16:33.884336,5,16,33,2.6,51.6,0.0,71.8,521.13,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,2.6,benign
2026-05-23T05:16:36.361247,5,16,36,0.9,51.6,0.0,71.8,521.17,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:16:38.869654,5,16,38,0.9,51.6,0.0,71.8,521.21,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.9,benign
2026-05-23T05:16:41.370131,5,16,41,0.0,51.6,0.0,71.8,521.25,225,225,217,0,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,0.0,benign
2026-05-23T05:16:43.867473,5,16,43,4.3,51.6,0.0,71.8,521.29,225,225,217,1,2,1,6,5,0,4,562,2.4978,0,0.0,114,17,18,2,4.3,benign
